Day,Customer ID,Campaign ID,Campaign,Campaign state,Campaign serving status,Clicks,Start date,End date,Budget,Budget ID,Budget explicitly shared,Label IDs,Labels,Invalid clicks,Conversions,Conv. rate,CTR,Cost,Impressions,Search Lost IS (rank),Avg. position,Interaction Rate,Interactions
2016-11-01,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,4.0,40.00%,14.49%,54200000,69,2.92%,1.9,14.49%,10
2016-11-02,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,10.0,100.00%,10.53%,49790000,95,6.98%,1.6,10.53%,10
2016-11-03,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,25.0,"1,277.78%",7.41%,55190000,135,10.88%,1.7,7.41%,10
2016-11-04,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,6.0,75.00%,6.30%,51210000,127,8.56%,1.8,6.30%,8
2016-11-05,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,7.0,87.50%,4.42%,51380000,181,3.97%,1.9,4.42%,8
2016-11-06,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,30.00%,11.63%,51030000,86,3.31%,1.6,11.63%,10
2016-11-07,12345678,987654,Used Cars,enabled,ended,12,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,16.67%,9.84%,71580000,122,4.20%,1.7,9.84%,12
2016-11-08,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,10.00%,16.13%,46120000,62,2.33%,2.0,16.13%,10
2016-11-09,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,5.0,62.50%,9.76%,52760000,82,5.26%,1.7,9.76%,8
2016-11-10,12345678,987654,Used Cars,enabled,ended,6,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,4.0,66.67%,9.23%,42540000,65,7.62%,1.6,9.23%,6
2016-11-11,12345678,987654,Used Cars,enabled,ended,7,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,0.0,0.00%,6.14%,40700000,114,11.34%,1.8,6.14%,7
2016-11-12,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,22.22%,4.81%,45990000,187,5.62%,1.9,4.81%,9
2016-11-13,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,6.0,66.67%,6.00%,50390000,150,8.10%,1.7,6.00%,9
2016-11-14,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,37.50%,8.08%,46020000,99,3.77%,1.8,8.08%,8
2016-11-15,12345678,987654,Used Cars,enabled,ended,6,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,50.00%,10.00%,39590000,60,6.62%,2.1,10.00%,6
2016-11-16,12345678,987654,Used Cars,enabled,ended,6,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,0.0,0.00%,5.88%,36510000,102,6.52%,1.9,5.88%,6
2016-11-17,12345678,987654,Used Cars,enabled,ended,11,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,4.0,36.36%,9.32%,57660000,118,2.65%,1.8,9.32%,11
2016-11-18,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,8.0,80.00%,5.32%,53020000,188,9.24%,1.9,5.32%,10
2016-11-19,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,25.00%,6.56%,54490000,122,3.70%,1.7,6.56%,8
2016-11-20,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,33.33%,4.92%,53850000,183,2.54%,1.8,4.92%,9
2016-11-21,12345678,987654,Used Cars,enabled,ended,11,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,27.27%,7.80%,55230000,141,7.69%,1.7,7.80%,11
2016-11-22,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,11.11%,4.97%,54960000,181,6.43%,1.7,4.97%,9
2016-11-23,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,22.22%,5.06%,54820000,178,7.25%,1.8,5.06%,9
